Conta: 2345752
Titular: 
Data Inicial: 06/08/2024
Data Final: 06/08/2025

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo Bruto;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);Drawdown;Ganho Max.;Perda Max.;TET;Total
WINFUT;02/09/2024 11:34:00;02/09/2024 14:00:00;2h26min;5;5;V;149.350,00;149.150,00;137.060,00;Não;-200,00;-200,00;1;-200,00;-200,00;12.005,00;85,00;0,00; - ;-200,00
WINFUT;04/09/2024 11:32:00;04/09/2024 12:10:00;38min;1;1;C;150.695,00;151.240,00;137.060,00;Não;109,00;545,00;2;109,00;545,00;109,00;0,00;0,00;1d23h;-91,00
WINFUT;04/09/2024 12:14:00;04/09/2024 14:20:00;2h6min;2;2;C;151.167,50;150.670,00;137.060,00;Não;-199,00;-497,50;3;-199,00;-497,50;-202,00;3,00;0,00;42min;-290,00
WINFUT;13/09/2024 10:30:00;13/09/2024 11:08:00;38min;1;1;C;149.395,00;149.395,00;137.060,00;Sim;0;0;4;0;0;0,00;0,00;0,00;8d22h;-290,00
WINFUT;13/09/2024 11:08:00;13/09/2024 11:10:00;2min;1;1;C;149.510,00;149.395,00;137.060,00;Não;-23,00;-115,00;5;-23,00;-115,00;-23,00;0,00;0,00;38min;-313,00
WINFUT;13/09/2024 11:16:00;13/09/2024 12:06:00;50min;1;1;C;149.420,00;149.690,00;137.060,00;Sim;54,00;270,00;6;54,00;270,00;54,00;0,00;0,00;8min;-259,00
WINFUT;01/10/2024 12:30:00;01/10/2024 15:02:00;2h32min;1;1;C;146.395,00;146.075,00;137.060,00;Sim;-64,00;-320,00;7;-64,00;-320,00;-64,00;0,00;0,00;18d1h;-323,00
WINFUT;03/10/2024 10:04:00;03/10/2024 10:44:00;40min;1;1;V;144.840,00;144.840,00;137.060,00;Não;0;0;8;0;0;1.556,00;0,00;0,00;1d21h;-323,00
WINFUT;03/10/2024 10:48:00;03/10/2024 11:34:00;46min;2;2;V;144.215,00;144.307,50;137.060,00;Não;37,00;92,50;9;37,00;92,50;2.899,00;0,00;-127,00;44min;-286,00
WINFUT;03/10/2024 11:36:00;03/10/2024 15:02:00;3h26min;1;1;V;144.130,00;144.105,00;137.060,00;Não;-5,00;-25,00;10;-5,00;-25,00;1.409,00;0,00;0,00;48min;-291,00
