Conta: 2345752
Titular: 
Data Inicial: 06/08/2024
Data Final: 06/08/2025

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo Bruto;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);Drawdown;Ganho Max.;Perda Max.;TET;Total
WDOFUT;01/11/2024 10:07:00;01/11/2024 10:17:00;10min;2;2;V;6.130,00;6.120,00;5.448,00;Não;-200,00;-10,00;1;-200,00;-10,00;13.440,00;0,00;0,00; - ;-200,00
WDOFUT;07/11/2024 11:13:00;07/11/2024 11:19:00;6min;2;2;V;5.987,50;5.977,50;5.448,00;Não;-200,00;-10,00;2;-200,00;-10,00;10.590,00;0,00;0,00;6d1h;-400,00
WDOFUT;08/11/2024 10:48:00;08/11/2024 11:31:00;43min;4;4;C;6.089,75;6.085,00;5.448,00;Não;-190,00;-4,75;3;-190,00;-4,75;-190,00;0,00;-50,00;23h35min;-590,00
WDOFUT;14/11/2024 09:57:00;14/11/2024 10:55:00;58min;4;4;V;6.125,75;6.143,25;5.448,00;Sim;700,00;17,50;4;700,00;17,50;27.810,00;0,00;-330,00;5d23h;110,00
WDOFUT;18/11/2024 12:15:00;18/11/2024 13:08:00;53min;4;4;V;6.079,50;6.082,75;5.448,00;Não;130,00;3,25;5;130,00;3,25;25.390,00;0,00;-90,00;4d2h;240,00
WDOFUT;22/11/2024 10:36:00;22/11/2024 10:39:00;3min;2;2;V;6.154,00;6.144,00;5.448,00;Sim;-200,00;-10,00;6;-200,00;-10,00;13.920,00;0,00;0,00;3d22h;40,00
WDOFUT;26/11/2024 12:20:00;26/11/2024 13:06:00;46min;2;2;V;6.137,00;6.127,00;5.448,00;Não;-200,00;-10,00;7;-200,00;-10,00;13.580,00;0,00;0,00;4d1h;-160,00
WDOFUT;29/11/2024 11:31:00;29/11/2024 11:32:00;1min;2;2;C;6.423,50;6.413,50;5.448,00;Não;-200,00;-10,00;8;-200,00;-10,00;-200,00;0,00;0,00;2d23h;-360,00
WDOFUT;02/12/2024 11:44:00;02/12/2024 12:00:00;16min;2;2;C;6.413,50;6.403,50;5.448,00;Sim;-200,00;-10,00;9;-200,00;-10,00;-200,00;0,00;0,00;3d;-560,00
WDOFUT;03/12/2024 12:14:00;03/12/2024 12:18:00;4min;2;2;C;6.411,50;6.401,50;5.448,00;Sim;-200,00;-10,00;10;-200,00;-10,00;-200,00;0,00;0,00;1d;-760,00
WDOFUT;04/12/2024 11:31:00;04/12/2024 12:00:00;29min;4;4;C;6.396,25;6.391,00;5.448,00;Sim;-210,00;-5,25;11;-210,00;-5,25;-210,00;0,00;-70,00;23h17min;-970,00
