Conta: 1106739
Titular: 
Data Inicial: 25/07/2024
Data Final: 25/07/2025

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);Drawdown;Ganho Max.;Perda Max.;TET;Total
WDOFUT;26/07/2024 11:46:00;26/07/2024 14:00:00;2h14min;1;1;C;6.011,00;6.011,00;5.568,00;Não;0;0;1;0;0;0,00;0,00;0,00; - ;0,00
WDOFUT;01/08/2024 11:00:00;01/08/2024 11:28:00;28min;1;1;V;6.002,50;5.994,50;5.568,00;Não;-80,00;-8,00;2;-80,00;-8,00;4.265,00;0,00;0,00;5d23h;-80,00
WDOFUT;02/08/2024 10:12:00;02/08/2024 10:30:00;18min;1;1;V;6.095,50;6.098,00;5.568,00;Sim;25,00;2,50;3;25,00;2,50;5.300,00;0,00;0,00;23h12min;-55,00
WDOFUT;06/08/2024 12:36:00;06/08/2024 13:20:00;44min;1;1;V;5.992,00;6.006,50;5.568,00;Não;145,00;14,50;4;145,00;14,50;4.385,00;0,00;0,00;4d2h;90,00
WDOFUT;08/08/2024 10:54:00;08/08/2024 13:14:00;2h20min;2;2;V;5.950,25;5.963,75;5.568,00;Não;270,00;13,50;5;270,00;13,50;7.915,00;0,00;-135,00;1d22h;360,00
WDOFUT;09/08/2024 09:46:00;09/08/2024 10:36:00;50min;1;1;V;5.864,00;5.856,00;5.568,00;Não;-80,00;-8,00;6;-80,00;-8,00;2.880,00;0,00;0,00;22h52min;280,00
WDOFUT;12/08/2024 11:36:00;12/08/2024 11:46:00;10min;1;1;V;5.827,50;5.819,50;5.568,00;Não;-80,00;-8,00;7;-80,00;-8,00;2.515,00;0,00;0,00;3d1h;200,00
WDOFUT;19/08/2024 11:38:00;19/08/2024 12:22:00;44min;1;1;V;5.750,00;5.750,00;5.568,00;Não;0;0;8;0;0;1.820,00;0,00;0,00;7d;200,00
WDOFUT;19/08/2024 12:52:00;19/08/2024 13:18:00;26min;1;1;V;5.741,50;5.733,50;5.568,00;Não;-80,00;-8,00;9;-80,00;-8,00;1.655,00;0,00;0,00;1h14min;120,00
WDOFUT;20/08/2024 11:42:00;20/08/2024 11:58:00;16min;1;1;C;5.802,50;5.794,50;5.568,00;Sim;-80,00;-8,00;10;-80,00;-8,00;-80,00;0,00;0,00;22h50min;40,00
WDOFUT;22/08/2024 09:56:00;22/08/2024 10:40:00;44min;2;2;C;5.882,00;5.885,25;5.568,00;Não;65,00;3,25;11;65,00;3,25;65,00;0,00;-130,00;1d22h;105,00
WDOFUT;22/08/2024 11:24:00;22/08/2024 11:30:00;6min;1;1;C;5.899,00;5.891,00;5.568,00;Não;-80,00;-8,00;12;-80,00;-8,00;-80,00;0,00;0,00;1h28min;25,00
WDOFUT;23/08/2024 11:04:00;23/08/2024 11:28:00;24min;1;1;V;5.828,50;5.878,50;5.568,00;Sim;500,00;50,00;13;500,00;50,00;3.105,00;0,00;0,00;23h40min;525,00
WDOFUT;29/08/2024 09:52:00;29/08/2024 10:26:00;34min;1;1;C;5.924,50;5.974,50;5.568,00;Não;500,00;50,00;14;500,00;50,00;500,00;0,00;0,00;5d22h;1.025,00
WDOFUT;03/09/2024 12:50:00;03/09/2024 13:02:00;12min;1;1;C;5.984,00;5.976,00;5.568,00;Não;-80,00;-8,00;15;-80,00;-8,00;-80,00;0,00;0,00;5d2h;945,00
WDOFUT;04/09/2024 11:36:00;04/09/2024 12:20:00;44min;1;1;V;5.964,50;5.956,50;5.568,00;Sim;-80,00;-8,00;16;-80,00;-8,00;3.885,00;0,00;0,00;22h46min;865,00
WDOFUT;05/09/2024 10:24:00;05/09/2024 10:30:00;6min;1;1;V;5.940,50;5.932,50;5.568,00;Não;-80,00;-8,00;17;-80,00;-8,00;3.645,00;0,00;0,00;22h48min;785,00
WDOFUT;10/09/2024 11:34:00;10/09/2024 12:56:00;1h22min;1;1;C;5.957,00;5.976,50;5.568,00;Sim;195,00;19,50;18;195,00;19,50;195,00;0,00;0,00;5d1h;980,00
WDOFUT;12/09/2024 09:46:00;12/09/2024 09:58:00;12min;1;1;V;5.976,50;5.968,50;5.568,00;Sim;-80,00;-8,00;19;-80,00;-8,00;4.005,00;0,00;0,00;1d22h;900,00
WDOFUT;13/09/2024 10:30:00;13/09/2024 11:12:00;42min;2;2;V;5.900,50;5.912,00;5.568,00;Não;230,00;11,50;20;230,00;11,50;6.880,00;0,00;-110,00;1d;1.130,00
WDOFUT;20/09/2024 10:26:00;20/09/2024 10:54:00;28min;2;2;C;5.788,00;5.793,00;5.568,00;Sim;100,00;5,00;21;100,00;5,00;100,00;0,00;-220,00;6d23h;1.230,00
WDOFUT;25/09/2024 11:32:00;25/09/2024 11:50:00;18min;1;1;C;5.802,50;5.794,50;5.568,00;Não;-80,00;-8,00;22;-80,00;-8,00;-80,00;0,00;0,00;5d1h;1.150,00
WDOFUT;27/09/2024 09:34:00;27/09/2024 09:42:00;8min;1;1;C;5.761,00;5.753,00;5.568,00;Sim;-80,00;-8,00;23;-80,00;-8,00;-80,00;0,00;0,00;1d22h;1.070,00
WDOFUT;03/10/2024 10:28:00;03/10/2024 10:42:00;14min;1;1;C;5.791,00;5.783,00;5.568,00;Não;-80,00;-8,00;24;-80,00;-8,00;-80,00;0,00;0,00;6d;990,00
WDOFUT;08/10/2024 11:32:00;08/10/2024 11:54:00;22min;1;1;C;5.832,50;5.824,50;5.568,00;Não;-80,00;-8,00;25;-80,00;-8,00;-80,00;0,00;0,00;5d1h;910,00
WDOFUT;09/10/2024 11:34:00;09/10/2024 12:00:00;26min;1;1;C;5.889,00;5.881,00;5.568,00;Não;-80,00;-8,00;26;-80,00;-8,00;-80,00;0,00;0,00;1d;830,00
WDOFUT;11/10/2024 10:12:00;11/10/2024 10:52:00;40min;2;2;C;5.914,25;5.940,75;5.568,00;Não;530,00;26,50;27;530,00;26,50;530,00;0,00;-215,00;1d22h;1.360,00
WDOFUT;14/10/2024 12:54:00;14/10/2024 13:20:00;26min;1;1;V;5.879,50;5.895,50;5.568,00;Não;160,00;16,00;28;160,00;16,00;3.275,00;0,00;0,00;3d2h;1.520,00
WDOFUT;15/10/2024 11:40:00;15/10/2024 11:50:00;10min;1;1;C;5.955,50;5.947,50;5.568,00;Não;-80,00;-8,00;29;-80,00;-8,00;-80,00;0,00;0,00;22h46min;1.440,00
WDOFUT;18/10/2024 10:48:00;18/10/2024 12:04:00;1h16min;3;3;C;5.971,00;5.968,50;5.568,00;Não;-75,00;-2,50;30;-75,00;-2,50;-75,00;0,00;-225,00;2d23h;1.365,00
WDOFUT;24/10/2024 10:32:00;24/10/2024 10:42:00;10min;1;1;C;6.018,00;6.010,00;5.568,00;Não;-80,00;-8,00;31;-80,00;-8,00;-80,00;0,00;0,00;5d23h;1.285,00
WDOFUT;25/10/2024 10:10:00;25/10/2024 10:26:00;16min;2;2;C;5.995,50;5.991,50;5.568,00;Sim;-80,00;-4,00;32;-80,00;-4,00;-80,00;0,00;-50,00;23h38min;1.205,00
