Conta: 1106739
Titular: 
Data Inicial: 25/07/2024
Data Final: 25/07/2025

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);Drawdown;Ganho Max.;Perda Max.;TET;Total
WINFUT;07/11/2024 10:07:00;07/11/2024 10:14:00;7min;1;1;V;141.875,00;141.475,00;134.280,00;Não;-80,00;-400,00;1;-80,00;-400,00;1.439,00;0,00;0,00; - ;-80,00
WINFUT;18/11/2024 11:33:00;18/11/2024 11:37:00;4min;1;1;V;138.790,00;138.390,00;134.280,00;Não;-80,00;-400,00;2;-80,00;-400,00;822,00;0,00;0,00;11d1h;-160,00
WINFUT;21/11/2024 10:39:00;21/11/2024 11:01:00;22min;1;1;C;137.470,00;137.070,00;134.280,00;Não;-80,00;-400,00;3;-80,00;-400,00;-80,00;0,00;0,00;2d23h;-240,00
WINFUT;28/11/2024 09:27:00;28/11/2024 10:35:00;1h8min;3;3;V;136.710,00;137.190,00;134.280,00;Não;288,00;480,00;4;288,00;480,00;1.746,00;0,00;-132,00;6d22h;48,00
WINFUT;29/11/2024 09:17:00;29/11/2024 09:21:00;4min;1;1;V;135.110,00;134.710,00;134.280,00;Não;-80,00;-400,00;5;-80,00;-400,00;86,00;0,00;0,00;23h50min;-32,00
WINFUT;06/12/2024 10:30:00;06/12/2024 10:30:00;-;1;1;C;137.010,00;137.010,00;134.280,00;Sim;0;0;6;0;0;0,00;0,00;0,00;7d1h;-32,00
WINFUT;12/12/2024 09:16:00;12/12/2024 09:39:00;23min;1;1;C;138.695,00;138.295,00;134.280,00;Não;-80,00;-400,00;7;-80,00;-400,00;-80,00;0,00;0,00;5d22h;-112,00
WINFUT;17/12/2024 12:28:00;17/12/2024 12:28:00;-;1;1;V;133.545,00;133.545,00;134.280,00;Não;0;0;8;0;0;-147,00;0,00;0,00;5d3h;-112,00
WINFUT;19/12/2024 10:18:00;19/12/2024 10:54:00;36min;2;2;V;130.460,00;130.257,50;134.280,00;Não;-81,00;-202,50;9;-81,00;-202,50;-1.609,00;0,00;-43,00;1d21h;-193,00
WINFUT;02/01/2025 10:37:00;02/01/2025 11:49:00;1h12min;1;1;C;127.530,00;128.125,00;134.280,00;Sim;119,00;595,00;10;119,00;595,00;119,00;0,00;0,00;14d;-74,00
