Conta: 1000403020
Titular: 
Data Inicial: 17/06/2024
Data Final: 17/06/2025

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);Drawdown;Ganho Max.;Perda Max.;TET;Total
BITFUT;12/09/2024 11:26:00;12/09/2024 11:35:00;9min;3;3;C;371.520,00;373.660,00;573.260,00;Não;64,20;2.140,00;1;64,20;2.140,00;64,20;0,00;0,00; - ;64,20
BITFUT;12/09/2024 11:59:00;12/09/2024 12:02:00;3min;3;3;V;368.260,00;368.960,00;573.260,00;Não;21,00;700,00;2;21,00;700,00;-6.129,00;0,00;0,00;33min;85,20
BITFUT;12/09/2024 12:43:00;12/09/2024 12:48:00;5min;3;3;V;367.160,00;367.860,00;573.260,00;Não;21,00;700,00;3;21,00;700,00;-6.162,00;0,00;0,00;44min;106,20
BITFUT;13/09/2024 10:04:00;13/09/2024 11:00:00;56min;3;3;C;366.740,00;363.400,00;573.260,00;Sim;-100,20;-3.340,00;4;-100,20;-3.340,00;-100,20;0,00;0,00;21h21min;6,00
BITFUT;17/09/2024 10:30:00;17/09/2024 10:44:00;14min;3;3;V;366.280,00;367.280,00;573.260,00;Não;30,00;1.000,00;5;30,00;1.000,00;-6.179,40;0,00;0,00;4d;36,00
BITFUT;17/09/2024 12:02:00;17/09/2024 12:08:00;6min;3;3;C;375.520,00;377.613,33;573.260,00;Não;62,80;2.093,33;6;62,80;2.093,33;62,80;0,00;0,00;1h32min;98,80
BITFUT;17/09/2024 12:46:00;17/09/2024 13:21:00;35min;3;3;V;377.260,00;378.360,00;573.260,00;Sim;33,00;1.100,00;7;33,00;1.100,00;-5.847,00;0,00;0,00;44min;131,80
BITFUT;18/09/2024 10:01:00;18/09/2024 10:35:00;34min;3;3;C;371.200,00;367.860,00;573.260,00;Sim;-100,20;-3.340,00;8;-100,20;-3.340,00;-100,20;0,00;0,00;21h15min;31,60
BITFUT;19/09/2024 10:12:00;19/09/2024 11:21:00;1h9min;3;3;C;386.160,00;387.140,00;573.260,00;Não;29,40;980,00;9;29,40;980,00;29,40;0,00;0,00;1d;61,00
BITFUT;19/09/2024 11:29:00;19/09/2024 11:35:00;6min;3;3;C;387.580,00;388.080,00;573.260,00;Não;15,00;500,00;10;15,00;500,00;15,00;0,00;0,00;1h17min;76,00
BITFUT;19/09/2024 11:45:00;19/09/2024 12:02:00;17min;3;3;V;384.760,00;385.920,00;573.260,00;Sim;34,80;1.160,00;11;34,80;1.160,00;-5.620,20;0,00;0,00;16min;110,80
BITFUT;19/09/2024 12:08:00;19/09/2024 13:39:00;1h31min;3;3;V;387.600,00;384.260,00;573.260,00;Não;-100,20;-3.340,00;12;-100,20;-3.340,00;-5.670,00;0,00;0,00;23min;10,60
BITFUT;19/09/2024 13:46:00;19/09/2024 13:55:00;9min;3;3;C;387.620,00;388.340,00;573.260,00;Não;21,60;720,00;13;21,60;720,00;21,60;0,00;0,00;1h38min;32,20
BITFUT;19/09/2024 14:01:00;19/09/2024 14:43:00;42min;3;3;C;389.100,00;389.680,00;573.260,00;Não;17,40;580,00;14;17,40;580,00;17,40;0,00;0,00;15min;49,60
BITFUT;20/09/2024 10:39:00;20/09/2024 10:53:00;14min;3;3;C;388.120,00;388.840,00;573.260,00;Sim;21,60;720,00;15;21,60;720,00;21,60;0,00;0,00;20h38min;71,20
BITFUT;20/09/2024 11:10:00;20/09/2024 11:15:00;5min;3;3;V;386.640,00;387.500,00;573.260,00;Sim;25,80;860,00;16;25,80;860,00;-5.572,80;0,00;0,00;31min;97,00
BITFUT;20/09/2024 11:20:00;20/09/2024 11:26:00;6min;3;3;C;389.000,00;390.080,00;573.260,00;Não;32,40;1.080,00;17;32,40;1.080,00;32,40;0,00;0,00;10min;129,40
BITFUT;20/09/2024 11:34:00;20/09/2024 11:40:00;6min;3;3;C;390.820,00;391.660,00;573.260,00;Não;25,20;840,00;18;25,20;840,00;25,20;0,00;0,00;14min;154,60
BITFUT;24/09/2024 10:18:00;24/09/2024 10:32:00;14min;3;3;V;389.800,00;390.480,00;573.260,00;Sim;20,40;680,00;19;20,40;680,00;-5.483,40;0,00;0,00;3d22h;175,00
BITFUT;24/09/2024 11:15:00;24/09/2024 11:30:00;15min;3;3;V;385.900,00;387.380,00;573.260,00;Não;44,40;1.480,00;20;44,40;1.480,00;-5.576,40;0,00;0,00;57min;219,40
BITFUT;24/09/2024 11:36:00;24/09/2024 11:58:00;22min;3;3;V;388.740,00;385.400,00;573.260,00;Não;-100,20;-3.340,00;21;-100,20;-3.340,00;-5.635,80;0,00;0,00;21min;119,20
